,food_drink
0," và , nước"
1," đi , , chơi , quốc <"
2,Bạn thường đi bộ vào buổi sáng đi bút_ sắt và buổi chiều đạp xe_đạp bus vào buổi tối
3,"Mình rất đam_mê cầu lông và ngoài hay phát đến , ý xấu ngoài việc và còn có sở_thích bị sa được nữa"
4, xây có
5, <unk> <unk>
6, <unk>
7,
8, phòng ngày không :
9,
10, bóng_đá
11, bóng_đá
12," người đọc sách xem tăng_ nghe , , tiếng : bà"
13, <unk>
14, <unk>
15, <unk>
16," Đọc lá , , cơ và x <"
17, 
18, 
19, <unk> Anh
20, ngoại <unk>
21,Chân Vừa trong và trên cà phê
22, <unk>
23, hình tự bò
24, / trong cách x có
25, giá xuất vé
26,
27,
28,Ứng_ cứu về hành chính-
29,
30, hát <unk>
31, và đại hoá
32, sản <unk>
33,
34," tranh , trên như "
35,
36," / hóng , nhắn tử | <unk>"
37, <unk>
38,Xà_ bài âm <unk>
39, sách vui -
40, <unk> <unk>
41, <unk>
42, video <unk>
43,"thích ăn thích xem phim thích game nghỉ chơi game thích đọc sách offline @ phim nghe thích đi tụ các các không ăn ăn ăn thích phim nu các 10 khi không chơi sách thể_thao phải đi xe , các nhóm khác khác có ca thích , ăn , , chụp , với máy video gọi tin và @ @"
44,"Người Đoàn là , gia các dịch , giao theo không m phim"
45," Bản_ về , và và liên sinh"
46," - , tăng_ và và ngoại <"
47, số <unk>
48, <unk>
49, thông_tin không trọ
50,Quản_ Số và liên sinh
51,
52," và , sách , , , X- chơi"
53,"Nghe nhạc xem ca_sĩ xem tấu , , các các , , thao tranh , tranh , chụp ảnh đi bộ toàn cảnh"
54, <unk> <unk>
55,Người thường_xuyên xem và âm nhạc
56," tinh số , và , học <unk> Anh"
57,
58,Gia <unk>
59,"Anh vừa đá , V- :"
60, thêm
61, và âm nhạc
62,Nghe đọc từ âm ca trong nhạc <
63,Đội <unk> <unk> VĐQG
64, bóng_đá
65, <unk>
66, cảnh phim / game
67," bìa , / thơ"
68, trong <unk>
69, <unk>
70, cá lồng <unk>
71, <unk>
72,
73, 
74, <unk>
75," đọc , X- phim"
76,Gia <unk>
77, thêm
78, và trong phim
79,Người có_thể nghe với và hay ngoại <
80," đọc , , nhạc , học x Anh"
81, có x Anh
82, <unk>
83,
84,
85, và trên điều <
86, phim trong phim
87, Danh_sách trong phim ứng thao
88, video với từ |
89, video / hình ảnh
90," nói và , trong nhạc"
91, <unk>
92, và hoá đại họ
93, vé về game nhà trí trí ý và âm 
94, <unk> <unk>
95, toàn |
96,
97," sách , phim X- phim"
98,Chụp ảnh khi thuyết_minh du thuyề
99, <unk>
100, cho không <unk>
101," , và như máy_bay ngược "
102,Nghe nhạc mọi lúc mọi nơi  bài biểu Thừa_ kết trên nền trên G- <unk>
103," quả chổi , trong <unk>"
104," những , về những vấn_đề là phải do <"
105, Đại <unk>
106, <unk>
107,
108, nhạc thông phim trên xem đồng âm tin
109, <unk>
110," trò bắt , , trên không , , bằng nước đỏ"
111," , , phim trực_tuyến tại phim"
112,
113, Người và và <unk> <unk>
114, web <unk>
115,
116, xe phố <unk>
117, để <unk> <unk>
118, video bất sinh- và dụng nghệ <
119, có
120, sách nghe và trên lạc sinh
121,
122, và co thơ
123, của thêm
124,ý Việc của tôi là tự_do mình muốn khỏi dược lức này của phải lao lao vào <unk>
125, <unk>
126, 
127," chơi các , , , , , , chiêm <unk> <"
128,"Tân_ Phòng văn , và toàn thơ"
129,"Nghe nhạc , xem sách , sách văn và <unk>"
130, cùng Anh và khi trong phim
131,"Để đọc về phương ​​ của văn_hoá , nhất về sự độc đông  các hộ , mạnh và thiên ko để làm những gì mình thích điều này kì khó kì không lại là không bị ép có"
132, công và X- 
133, 
134," quẻ trung trong , , thủ phương <unk>"
135," Đập , máy tính , phá máy tính , cấ của khi trong máy tốc_ hướng : i nu de i <unk>"
136,Thuê lại của lần
137, ra xa <unk>
138, tập không <unk>
139,Đại <unk>
140, | truyền động-
141, thêm
142, và toàn nhạc_cụ
143, kỹ <unk>
144, người tiếng <unk>
145," như , sách thực nghệ"
146, và to số
147,"Môn nào thích thì môn đó , , người đá bóng ở trong sân_khấu hay ngoài đời đều có sự quan tích và phản tưởng_tượng như nhau , chơi này cũng là một điều hợp vị"
148, Hướng_dẫn nhắn <unk> <unk>
149," nhạc , phim trên nhạc"
150, và xem phim du sinh
151, Đại =
152," đá bóng , đánh đá"
153,Đá bóng trong bóng_đá 
154, xem phim nghe nhạc vui xe
155, file hình âm sĩ
156, bóng_đá
157, <unk>
158," có_thể đọc triết văn , tiểu <unk>"
159, và trong <unk>
160, bóng_đá
161, được phát :
162, Giải bằng các con_l bàn bánh uống
163, - xe Cà phê
164, <unk>
165,"Nghe nhạc , xem phim"
166, video <unk>
167, Tiếng_ phí và lại và chương_trình đã giải <unk>
168, 
169,
170, người ta chửi đi
171, <unk> có
172, <unk>
173, <unk>
174,
175,Sản_phẩm  nhân_sự vụ công nghệ
176,du <unk>
177, <unk>
178,"Người đọc , , <"
179, 
180, suy <unk>
181, và âm nhạc
182,
183, thuỷ :
184, / game s <unk>
185,
186,"Đọc : đá sách , , đàn , âm nhạc"
187, tầu điện tử
188, người phát <unk>
189,"Học Người và , , chơi và quốc |"
190,Người hút thuốc
191, có
192,
193, và bách_ và đá <unk> <unk>
194, trống hộp ghi 
195, đánh banh thì : <unk>
196, <unk>
197,Đạo_ chuông ngoại <
198, xem :
199,Quả bằng po <unk>
200, <unk>
201, cây bao xỉu
202, đi chơi với bạn <
203,Người / đàn <
204, <unk> <unk>
205, <unk>
206, <unk>
207,
208," = từ_thiên thiên @ , và cây bà"
209," , , , , tranh <"
210, hướng_dẫn trong <unk>
211, <unk>
212,"- đi xem lich , đi đây đi đó với bạn gái của năm"
213, <unk>
214, 
215, <unk>
216, game quốc <unk>
217,
218, | và xem đấu vui <unk>
219," Thể xem , , x <unk>"
220,
221, vi 
222," xem xem , , xem sử du sinh"
223,Phim <unk>
224," nhạc đọc sách , phim có sử <unk>"
225,
226," phim nghe nhạ theo ca , sách du <unk>"
227, <unk>
228, thêm
229, - trong sách nghe <unk> <
230, <unk>
231, <unk>
232, bóng_đá
233, <unk> <
234,Phương_ Cách trong xe Lạc thi
235, <unk>
236," <unk> theo , m phim"
237, nhân <unk>
238, <unk>
239," phim ngôn tình , truyền độ"
240,Kể Bạn cho bạn gái đồng sao_băng
241,  bài bài |
242,"Nghe , và phim và vu <unk> <"
243, thể thao
244,Quả bút_ để trong <unk> <
245,"Học Người và , , chơi và quốc |"
246, và âm nhạc
247, Xem ca_sĩ nhà <
248,"Cầu_thủ đá , , chơi <unk>"
249, xe <unk>
250, <unk>
251," anime , anime xem anime live ca âm <unk>"
252," Hội thổi , có âu bằng bà"
253,Sân ngoài thể thao
254, và xuất thơ
255," đá trái , đá to "
256, 
257, Đại <unk>
258, <unk>
259, video trong đất_liền
260, chơi với con <unk>
261,
262,Người nghe nhạc trong phim đặt biết là nghe mùi của đàn trườ <
263, tự và không <unk>
264, 
265, Người môn từ <unk>
266, <unk>
267,"Đội trận trong uống và , chơi với bạn và bản em"
268, Xem x <unk>
269,"Đi bộ ngoài mây , đạp tập , xe động_ ăn bầu được được cơm , nấu ngồi cuốn sách , như trong , tập hay tâm về một vần để nào đó để thực đâu đến ác , những câu_chuyện châm_ngôn này đến có nhất khiến những người . "
270,
271,Mô <unk>
272, <unk>
273, có
274, my máy_bay
275, không trên <
276," s trong , trên không "
277, thông_tin về văn ở tại nước
278, <unk> <unk>
279,
280,"Đá bóng_ banh , đi xem , đi lên đấu , du trại theo phim"
281, web này
282, đi du lich
283,
284, <unk>
285,
286, nghe nhạc
287, > bệnh bao quang sân và toàn banh
288, chơi hay đại cờ_tướng
289,  không bệnh xung <unk>
290,Câu dục- thế thao và du lich
291, của <unk>
292,"Cách hình hai , để và trong <unk>"
293,"Nghe thực_hành hít thở lấy đều không phòng , bệnh đồng phát đồ"
294," : , chơi , , theo ca trả tiền và tiêu tiền"
295," cách đánh , , trên tay phát "
296, 
297,
298, <unk>
299,"Em đa_ Anh tình , đọc , , thế thao , học những cái "
300," ảnh , cho phim , video nhạc"
